obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('86',)",33.5164985657,1,0,1029.05477741,29,29,2,3.35164985657,29,13,3724598992.7,3724598992.8,3659645814.07,44.36829,-124.9528,0.0,34.0742695044,29,29,internal_timestamp,476.130004883,29,29,68583,1450657014,5.72930002213,29,29,3659645814.07
"('87',)",33.5177001953,1,0,1029.0482053,29,29,2,3.35177001953,29,13,3724598992.7,3724598992.8,3659645825.06,44.36829,-124.9528,0.0,34.0744076727,29,29,internal_timestamp,474.730010986,29,29,64332,1450657025,5.7312002182,29,29,3659645825.06
"('88',)",33.51720047,1,0,1029.04295429,29,29,2,3.351720047,29,13,3724598992.7,3724598992.8,3659645836.07,44.36829,-124.9528,0.0,34.0741864239,29,29,internal_timestamp,473.630004883,29,29,70830,1450657036,5.73140001297,29,29,3659645836.07
"('89',)",33.5176010132,1,0,1029.03814139,29,29,2,3.35176010132,29,13,3724598992.7,3724598992.8,3659645847.07,44.36829,-124.9528,0.0,34.0741325867,29,29,internal_timestamp,472.619995117,29,29,66880,1450657047,5.73239994049,29,29,3659645847.07
"('90',)",33.516998291,1,0,1029.03418558,29,29,2,3.3516998291,29,13,3724598992.7,3724598992.8,3659645858.08,44.36829,-124.9528,0.0,34.07418896,29,29,internal_timestamp,471.739990234,29,29,75614,1450657058,5.73210000992,29,29,3659645858.08
"('91',)",33.5175018311,1,0,1029.03009455,29,29,2,3.35175018311,29,13,3724598992.7,3724598992.8,3659645869.07,44.36829,-124.9528,0.0,34.0741772757,29,29,internal_timestamp,470.880004883,29,29,74552,1450657069,5.73309993744,29,29,3659645869.07
"('92',)",33.5185012817,1,0,1029.02427326,29,29,2,3.35185012817,29,13,3724598992.7,3724598992.8,3659645880.07,44.36829,-124.9528,0.0,34.0724166371,29,29,internal_timestamp,470.010009766,29,29,70650,1450657080,5.73640012741,29,29,3659645880.07
"('93',)",33.5191001892,1,0,1029.01891257,29,29,2,3.35191001892,29,13,3724598992.7,3724598992.8,3659645891.07,44.36829,-124.9528,0.0,34.0714457218,29,29,internal_timestamp,469.070007324,29,29,68964,1450657091,5.73850011826,29,29,3659645891.07
"('94',)",33.5183982849,1,0,1029.01412067,29,29,2,3.35183982849,29,13,3724598992.7,3724598992.8,3659645902.07,44.36829,-124.9528,0.0,34.0715898437,29,29,internal_timestamp,467.989990234,29,29,67734,1450657102,5.73810005188,29,29,3659645902.07
"('95',)",33.5176010132,1,0,1029.00810831,29,29,2,3.35176010132,29,13,3724598992.7,3724598992.8,3659645913.08,44.36829,-124.9528,0.0,34.070645209,29,29,internal_timestamp,466.859985352,29,29,77702,1450657113,5.73869991302,29,29,3659645913.08
"('96',)",33.5190010071,1,0,1029.00202249,29,29,2,3.35190010071,29,13,3724598992.7,3724598992.8,3659645924.08,44.36829,-124.9528,0.0,34.0700796684,29,29,internal_timestamp,465.709991455,29,29,77178,1450657124,5.74139976501,29,29,3659645924.08
