obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('61',)",3.48709011078,29,13,1026.79894049,29,13,14,3779218458.39,3779218533.07,3771215406.49,44.63218,-124.30797,0.0,internal_timestamp,72.8789978027,29,13,1562226606.49,33.895401001,29,29,0,7.61929988861,29,29,3771215406.49
"('62',)",3.48709988594,29,13,1026.799023,29,13,14,3779218458.39,3779218533.07,3771215406.56,44.63218,-124.30797,0.0,internal_timestamp,72.8799972534,29,13,1562226606.56,33.8955001831,29,29,0,7.61929988861,29,29,3771215406.56
"('63',)",3.48709988594,29,13,1026.79892599,29,13,14,3779218458.39,3779218533.08,3771215406.62,44.63218,-124.30797,0.0,internal_timestamp,72.8789978027,29,13,1562226606.62,33.895401001,29,29,0,7.61940002441,29,29,3771215406.62
"('64',)",3.48709988594,29,13,1026.79898096,29,13,14,3779218458.39,3779218533.08,3771215406.68,44.63218,-124.30797,0.0,internal_timestamp,72.8740005493,29,13,1562226606.68,33.8955001831,29,29,0,7.61940002441,29,29,3771215406.68
"('65',)",3.48709988594,29,13,1026.79897178,29,13,14,3779218458.39,3779218533.08,3771215406.74,44.63218,-124.30797,0.0,internal_timestamp,72.8720016479,29,13,1562226606.74,33.8955001831,29,29,0,7.61940002441,29,29,3771215406.74
"('66',)",3.48709988594,29,13,1026.79897178,29,13,14,3779218458.39,3779218533.08,3771215406.81,44.63218,-124.30797,0.0,internal_timestamp,72.8720016479,29,13,1562226606.81,33.8955001831,29,29,0,7.61940002441,29,29,3771215406.81
"('67',)",3.48709988594,29,13,1026.79896719,29,13,14,3779218458.39,3779218533.08,3771215406.87,44.63218,-124.30797,0.0,internal_timestamp,72.8710021973,29,13,1562226606.87,33.8955001831,29,29,0,7.61940002441,29,29,3771215406.87
"('68',)",3.48709011078,29,13,1026.79889918,29,13,14,3779218458.39,3779218533.08,3771215406.93,44.63218,-124.30797,0.0,internal_timestamp,72.8700027466,29,13,1562226606.93,33.895401001,29,29,0,7.61929988861,29,29,3771215406.93
"('69',)",3.48709988594,29,13,1026.7989725,29,13,14,3779218458.39,3779218533.08,3771215406.99,44.63218,-124.30797,0.0,internal_timestamp,72.8690032959,29,13,1562226606.99,33.8955001831,29,29,0,7.61929988861,29,29,3771215406.99
"('70',)",3.48709988594,29,13,1026.79896329,29,13,14,3779218458.39,3779218533.08,3771215407.06,44.63218,-124.30797,0.0,internal_timestamp,72.8669967651,29,13,1562226607.06,33.8955001831,29,29,0,7.61929988861,29,29,3771215407.06
"('71',)",3.48709988594,29,13,1026.79904579,29,13,14,3779218458.39,3779218533.08,3771215407.12,44.63218,-124.30797,0.0,internal_timestamp,72.8679962158,29,13,1562226607.12,33.8955993652,29,29,0,7.61929988861,29,29,3771215407.12
