obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('71',)",3.64858007431,29,13,1025.66118928,29,13,8,3742914133.81,3742914134.11,3722239650.11,44.64102,-124.30216,0.0,internal_timestamp,75.5609970093,29,29,1513250850.11,32.9838981628,29,29,0,10.3773002625,29,29,3722239650.11
"('72',)",3.64858007431,29,13,1025.66116658,29,13,8,3742914133.81,3742914134.11,3722239650.17,44.64102,-124.30216,0.0,internal_timestamp,75.5559997559,29,29,1513250850.17,32.9838981628,29,29,0,10.3773002625,29,29,3722239650.17
"('73',)",3.64858007431,29,13,1025.66103121,29,13,8,3742914133.81,3742914134.11,3722239650.23,44.64102,-124.30216,0.0,internal_timestamp,75.5469970703,29,29,1513250850.23,32.9837989807,29,29,0,10.3774003983,29,29,3722239650.23
"('74',)",3.64858007431,29,13,1025.66101759,29,13,8,3742914133.81,3742914134.11,3722239650.3,44.64102,-124.30216,0.0,internal_timestamp,75.5439987183,29,29,1513250850.3,32.9837989807,29,29,0,10.3774003983,29,29,3722239650.3
"('75',)",3.64859008789,29,13,1025.66098238,29,13,8,3742914133.81,3742914134.11,3722239650.36,44.64102,-124.30216,0.0,internal_timestamp,75.5400009155,29,29,1513250850.36,32.9837989807,29,29,0,10.3774995804,29,29,3722239650.36
"('76',)",3.64859008789,29,13,1025.6608879,29,13,8,3742914133.81,3742914134.11,3722239650.42,44.64102,-124.30216,0.0,internal_timestamp,75.5400009155,29,29,1513250850.42,32.9836997986,29,29,0,10.3775997162,29,29,3722239650.42
"('77',)",3.64861011505,29,13,1025.66082621,29,13,8,3742914133.81,3742914134.11,3722239650.48,44.64102,-124.30216,0.0,internal_timestamp,75.533996582,29,29,1513250850.48,32.9836997986,29,29,0,10.3777999878,29,29,3722239650.48
"('78',)",3.64861989021,29,13,1025.66086717,29,13,8,3742914133.81,3742914134.11,3722239650.55,44.64102,-124.30216,0.0,internal_timestamp,75.5260009766,29,29,1513250850.55,32.9837989807,29,29,0,10.3777999878,29,29,3722239650.55
"('79',)",3.64862990379,29,13,1025.66090453,29,13,8,3742914133.81,3742914134.11,3722239650.61,44.64102,-124.30216,0.0,internal_timestamp,75.5210037231,29,29,1513250850.61,32.9838981628,29,29,0,10.3779001236,29,29,3722239650.61
"('80',)",3.64862990379,29,13,1025.66089186,29,13,8,3742914133.81,3742914134.11,3722239650.67,44.64102,-124.30216,0.0,internal_timestamp,75.5220031738,29,29,1513250850.67,32.9838981628,29,29,0,10.3780002594,29,29,3722239650.67
