obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,time,temp,temp_qc_executed,temp_qc_results,time
"('41',)",33.9817009,1,0,1028.429694,29,29,5,3.39817009,29,29,3774706964,3774706965,3771188108,44.36829,-124.9528,0,34.04549379,29,29,internal_timestamp,362.7600098,29,29,115072,1562199308,6.334799767,29,29,3771188108
"('42',)",33.98870087,1,0,1028.402987,29,29,5,3.398870087,29,29,3774706964,3774706965,3771188128,44.36829,-124.9528,0,34.04441937,29,29,internal_timestamp,357.4700012,29,29,113140,1562199328,6.346300125,29,29,3771188128
"('43',)",33.99639893,1,0,1028.37559,29,29,5,3.399639893,29,29,3774706964,3774706965,3771188148,44.36829,-124.9528,0,34.04261803,29,29,internal_timestamp,352.2000122,29,29,113331,1562199348,6.359300137,29,29,3771188148
"('44',)",34.01979828,1,0,1028.345527,29,29,5,3.401979828,29,29,3774706964,3774706965,3771188168,44.36829,-124.9528,0,34.04055362,29,29,internal_timestamp,346.9299927,29,29,114742,1562199368,6.390100002,29,29,3771188168
"('45',)",34.02999878,1,0,1028.318994,29,29,5,3.402999878,29,29,3774706964,3774706965,3771188188,44.36829,-124.9528,0,34.03981135,29,29,internal_timestamp,341.7200012,29,29,113793,1562199388,6.404799938,29,29,3771188188
"('46',)",34.03319931,1,0,1028.29275,29,29,5,3.403319931,29,29,3774706964,3774706965,3771188208,44.36829,-124.9528,0,34.03837094,29,29,internal_timestamp,336.480011,29,29,112126,1562199408,6.412399769,29,29,3771188208
"('47',)",34.03649902,1,0,1028.266708,29,29,5,3.403649902,29,29,3774706964,3774706965,3771188228,44.36829,-124.9528,0,34.03746856,29,29,internal_timestamp,331.1799927,29,29,109708,1562199428,6.41960001,29,29,3771188228
"('48',)",34.04710007,1,0,1028.239332,29,29,5,3.404710007,29,29,3774706964,3774706965,3771188248,44.36829,-124.9528,0,34.03598642,29,29,internal_timestamp,325.9500122,29,29,138521,1562199448,6.435500145,29,29,3771188248
"('49',)",34.06439972,1,0,1028.209923,29,29,5,3.406439972,29,29,3774706964,3774706965,3771188268,44.36829,-124.9528,0,34.03327263,29,29,internal_timestamp,320.75,29,29,137159,1562199468,6.460100174,29,29,3771188268
"('50',)",34.07360077,1,0,1028.183343,29,29,5,3.407360077,29,29,3774706964,3774706965,3771188288,44.36829,-124.9528,0,34.0324229,29,29,internal_timestamp,315.519989,29,29,113574,1562199488,6.473800182,29,29,3771188288
"('51',)",34.0951004,1,0,1028.151877,29,29,5,3.40951004,29,29,3774706964,3774706965,3771188308,44.36829,-124.9528,0,34.02864379,29,29,internal_timestamp,310.230011,29,29,131807,1562199508,6.504199982,29,29,3771188308
"('52',)",34.11339951,1,0,1028.12356,29,29,5,3.411339951,29,29,3774706964,3774706965,3771188328,44.36829,-124.9528,0,34.02733567,29,29,internal_timestamp,305.019989,29,29,131000,1562199528,6.52850008,29,29,3771188328
"('53',)",34.13029861,1,0,1028.09521,29,29,5,3.413029861,29,29,3774706964,3774706965,3771188348,44.36829,-124.9528,0,34.02565551,29,29,internal_timestamp,299.8299866,29,29,140285,1562199548,6.551599979,29,29,3771188348
"('54',)",34.15779877,1,0,1028.064996,29,29,5,3.415779877,29,29,3774706964,3774706965,3771188368,44.36829,-124.9528,0,34.02413313,29,29,internal_timestamp,294.5599976,29,29,140079,1562199568,6.586400032,29,29,3771188368
"('55',)",34.17990112,1,0,1028.035698,29,29,5,3.417990112,29,29,3774706964,3774706965,3771188388,44.36829,-124.9528,0,34.02235287,29,29,internal_timestamp,289.3599854,29,29,130558,1562199588,6.615399837,29,29,3771188388
"('56',)",34.20640183,1,0,1028.006216,29,29,5,3.420640183,29,29,3774706964,3774706965,3771188408,44.36829,-124.9528,0,34.02051125,29,29,internal_timestamp,284.2799988,29,29,140354,1562199608,6.649300098,29,29,3771188408
"('57',)",34.22629929,1,0,1027.977216,29,29,5,3.422629929,29,29,3774706964,3774706965,3771188428,44.36829,-124.9528,0,34.01844161,29,29,internal_timestamp,279.1300049,29,29,136355,1562199628,6.676099777,29,29,3771188428
"('58',)",34.22919846,1,0,1027.952848,29,29,5,3.422919846,29,29,3774706964,3774706965,3771188448,44.36829,-124.9528,0,34.01872643,29,29,internal_timestamp,273.9400024,29,29,133156,1562199648,6.681600094,29,29,3771188448
